Uploaded Date,Approved Date,Terms,Carrier,MC #,DOT #,Ref. #,Carrier Inv #,Net Amt Due,Pay By,Payment Status,InvoiceKey,PayeeKey,Invoice Draft Id,AppliedToKey
05/01/23,04/29/23,SP,Pacific Lanes,073376,3093723,,2243ENG,"$1,275.00 ",ACH to MITSUBISHI HC CAPITAL AMERICA,Paid,a134P00000GIyLBQA1,0014P00003i74PrQAI,200387,
05/01/23,04/29/23,SP,Hugo Hunter Inc,59255,3068007,,67834-0-A,"$1,850.00 ",ACH to ORANGE COMMERCIAL CREDIT,Paid,a134P00000GIyL1QAL,0014P00003i74ULQAY,200387,
05/03/23,04/29/23,SP,FAST4WARD EXPRESS INC,097400,3138172,,DDL30165JD,"$1,250.00 ",ACH to JD FACTORS LLC,Paid,a134P00000GIy8cQAD,0014P00004DXyVJQA1,200387,
05/03/23,04/29/23,SP,"C.T.O.W., LLC",245243,454039,,2402C,$750.00 ,Check,Paid,a134P00000GIyZmQAL,0014P00003iGV1GQAW,200387,
05/01/23,04/30/23,SP,Transportes Jomije Sa De Cv,749938,2157567,,96860JOM,$800.00 ,ACH *9883,Paid,a134P00000GIyI7QAL,0014P00003iHqLVQA0,200387,
04/30/23,04/30/23,SP,Lmz Trucking,635570,1199864,,37203L,$450.00 ,ACH *5997,Paid,a134P00000GIyCVQA1,0014P00003i1dktQAA,200387,
04/30/23,04/30/23,SP,Lmz Trucking,635570,1199864,,37200L,$600.00 ,ACH *5997,Paid,a134P00000GIyCQQA1,0014P00003i1dktQAA,200387,
04/30/23,04/30/23,SP,CHARLES NELSON,386142,885452,,DDL29992C,"$1,550.00 ",Check,Paid,a134P00000GIyCLQA1,0014P00004DTduKQAT,200387,
04/30/23,04/30/23,SP,Baca Transport LLC,017385,2953733,,DDL29894B,"$2,900.00 ",ACH *4672,Paid,a134P00000GIyCBQA1,0014P000043ulqhQAA,200387,
05/02/23,04/30/23,SP,West Motor Freight of PA,21866,113693,,PSW-106883,"$2,000.00 ",Check,Paid,a134P00000GIyQRQA1,0014P00003iGzDXQA0,200387,
05/02/23,04/30/23,SP,KEAGY TRUCKING LLC,1458816,3933774,,DS5111627,$475.00 ,ACH to TRUCKSTOP FACTORING,Paid,a134P00000GIyQMQA1,0014P00004DVYfGQAX,200387,
05/04/23,04/30/23,SP,Trucking Technology Limited Liability Company,943563,1897871,,5079TT,"$3,050.00 ",,Not Started,a134P00000GIyjFQAT,0014P00003i8cXZQAY,200387,
05/01/23,05/01/23,SP,SNEDEKER TRANSPORT LLC,1325858,3743188,,DDL30230S,$300.00 ,ACH to TRUCKSTOP FACTORING,Not Started,a134P00000GIyIHQA1,0014P00004DZDU1QAP,200387,
05/01/23,05/01/23,SP,Lightning Trans LLC,906243,2585932,,27922L,"$1,100.00 ",Check,Not Started,a134P00000GIyICQA1,0014P00003i74bVQAQ,200387,
05/01/23,05/01/23,SP,Rosewood Logistics Inc,1371771,3806107,,214000938CRO,"$2,350.00 ",ACH to CROSSROAD SERVICES LLC,Not Started,a134P00000GIyJoQAL,0014P000043Dg31QAC,200387,
05/01/23,05/01/23,SP,YBK TRANS INC,1025899,3256649,,DDL30287EGG,$350.00 ,ACH to ENGAGED FINANCIAL,Not Started,a134P00000GIyJeQAL,0014P000049bWvBQAU,200387,
05/01/23,05/01/23,SP,Jmx Same Day Delivery LLC,725641,1769169,,5089UNI,$245.00 ,ACH to UNIVERSAL FUNDING CORPORATION,Not Started,a134P00000GIyJZQA1,0014P00003ik3nWQAQ,200387,
05/01/23,05/01/23,SP,Montana Group Of Companies Limited,942399,2824402,,I022102,$700.00 ,Check,Not Started,a134P00000GIyJUQA1,0014P00003i8SYTQA2,200387,
05/01/23,05/01/23,SP,Montana Group Of Companies Limited,942399,2824402,,I022104,$700.00 ,Check,Not Started,a134P00000GIyJPQA1,0014P00003i8SYTQA2,200387,
05/01/23,05/01/23,SP,Montana Group Of Companies Limited,942399,2824402,,I022103,"$3,000.00 ",Check,Not Started,a134P00000GIyJKQA1,0014P00003i8SYTQA2,200387,
05/01/23,05/01/23,SP,Montana Group Of Companies Limited,942399,2824402,,I022058,"$5,200.00 ",Check,Not Started,a134P00000GIyJFQA1,0014P00003i8SYTQA2,200387,
05/01/23,05/01/23,SP,Km Logistics Llc,632597,1726204,,157950K,$325.00 ,ACH *8975,Not Started,a134P00000GIyJAQA1,0014P00003i1didQAA,200387,
05/01/23,05/01/23,SP,GREENWAY CARRIERS CORP,1143366,3482380,,2507TRP,"$5,000.00 ",ACH to TRIUMPH FINANCIAL SERVICES,Not Started,a134P00000GIyJ5QAL,0014P00004DefUAQAZ,200387,
05/01/23,05/01/23,SP,WAGON TRANSPORT LTD,1002725,3210996,,DDL30092RTS,"$1,250.00 ","ACH to RTS FINANCIAL SERVICE, INC",Not Started,a134P00000GIyJ0QAL,0014P00004DWvZDQA1,200387,
05/01/23,05/01/23,SP,RAPIDFOX TRANSPORTATION LLC,1315992,3729562,,DDL30164EGG,"$1,850.00 ",ACH to ENGAGED FINANCIAL,Not Started,a134P00000GIyIvQAL,0014P00004DXzT2QAL,200387,
05/01/23,05/01/23,SP,POPE TRUCKING INC.,147683,196896,,1235533P,"$1,000.00 ",ACH *2749,Not Started,a134P00000GIyIqQAL,0014P00004Dec5pQAB,200387,
05/01/23,05/01/23,SP,TJ&DJ TRUCKING LLC,345094,767807,,3239WEX,$600.00 ,"ACH to WEX FLEET ONE FACTORING, LLC",Not Started,a134P00000GIyIlQAL,0014P00004DVLy4QAH,200387,
05/01/23,05/01/23,SP,Homeland Transport Inc,806611,2355164,,31674RTS,$550.00 ,"ACH to RTS FINANCIAL SERVICE, INC",Not Started,a134P00000GIyIgQAL,0014P00003i1dchQAA,200387,
05/01/23,05/01/23,SP,Texas International Enterprises,762399,2196912,,190518RTS,"$4,300.00 ","ACH to RTS FINANCIAL SERVICE, INC",Not Started,a134P00000GIyIbQAL,0014P00003i1e8mQAA,200387,
05/01/23,05/01/23,SP,Tatias LLC,1318709,3733314,,19241803TRP,"$1,650.00 ",ACH to TRIUMPH FINANCIAL SERVICES,Not Started,a134P00000GIyIWQA1,0014P00003jkBDiQAM,200387,
05/01/23,05/01/23,SP,PSALM 3 TRUCKING LLC,1266716,3662382,,DDL30311RTS,"$2,700.00 ","ACH to RTS FINANCIAL SERVICE, INC",Not Started,a134P00000GIyIRQA1,0014P00004DedCxQAJ,200387,
05/01/23,05/01/23,SP,THOMAS E. WOOD,434263,1036363,,24392T,"$1,900.00 ",Check,Not Started,a134P00000GIyIMQA1,0014P00004DXzcpQAD,200387,
05/02/23,05/01/23,SP,Schubel Trucking Company LLC,1322850,3739054,,DDL29452TRA,"$1,900.00 ",ACH to TRANSWEST CAPITAL INC,Not Started,a134P00000GIyQlQAL,0014P0000484vUKQAY,200387,
05/02/23,05/01/23,SP,Van Meter Trucking LLC,699623,1978929,,16751V,"$2,500.00 ",Check,Not Started,a134P00000GIyQbQAL,0014P000048aMwDQAU,200387,
05/02/23,05/01/23,SP,Grass Roots Truckin LLC,847560,2454529,,10080G,$700.00 ,ACH *8508,Not Started,a134P00000GIyQCQA1,0014P00003npA5wQAE,200387,
05/02/23,05/01/23,SP,Gk Cargo Inc.,808147,2353480,,DDL30015G,"$2,400.00 ",Check,Not Started,a134P00000GIyQ7QAL,0014P0000440cprQAA,200387,
